watershed,decay_min,decay_avg,decay_max,incipient_motion_flow
Clear Creek,8.2e-4,0.00395,0.00926,297.43592703384616
Stony Creek,0.03315,0.15874,0.37165,2018.5840855999998
Feather River,0.46517,1.96956,4.48346,10445.086083199998
Yuba River,0.12789,0.57985,1.34134,6783.2812392
American River,0.25602,1.10676,2.5311,9680.0288096
Calaveras River,0.01672,0.08047,0.1886,843.93845888
Mokelumne River,0.02022,0.0973,0.22804,1998.9110552
Merced River,0.04243,0.20098,0.46946,2371.4350056
Stanislaus River,0.0378,0.18189,0.4263,1636.444854224
Tuolumne River,0.08112,0.3717,0.86192,4330.92546
