date,decay_cfd,decay_cfm,decay_sqm,decay_acres_month,flow
1979-01-31,0,0,0,0,3374
1979-02-28,0,0,0,0,3365
1979-03-31,0,0,0,0,3321
1979-04-30,0,0,0,0,3126
1979-05-31,0,0,0,0,5223
1979-06-30,12886.606983426205,386598.20950278617,193299.10475139308,4.437536840022798,10803
1979-07-31,14317.058826868964,443828.8236329379,221914.41181646896,5.094453898449701,12287
1979-08-31,10739.001385588965,332909.0429532579,166454.52147662896,3.821270006350527,8575
1979-09-30,0,0,0,0,4416
1979-10-31,0,0,0,0,4146
1979-11-30,0,0,0,0,3365
1979-12-31,0,0,0,0,3353
1980-01-31,19786.4647674624,613380.4077913344,306690.2038956672,7.040638289615869,17956
1980-02-29,34981.8502215168,979491.8062024703,489745.90310123516,11.243018895804296,32197
1980-03-31,0,0,0,0,3173
1980-04-30,0,0,0,0,4348
1980-05-31,0,0,0,0,6383
1980-06-30,12997.457362129655,389923.72086388967,194961.86043194483,4.475708458033628,10918
1980-07-31,13463.992869020689,417383.7789396414,208691.8894698207,4.790906553485323,11402
1980-08-31,11254.696625644137,348895.5953949683,174447.79769748414,4.0047703787301225,9110
1980-09-30,0,0,0,0,5208
1980-10-31,0,0,0,0,5912
1980-11-30,12822.988505213792,384689.6551564138,192344.8275782069,4.415629650555714,10737
1980-12-31,0,0,0,0,3320
1981-01-31,0,0,0,0,3472
1981-02-28,0,0,0,0,3338
1981-03-31,0,0,0,0,3338
1981-04-30,0,0,0,0,3173
1981-05-31,0,0,0,0,7350
1981-06-30,16266.097659376552,487982.9297812965,243991.46489064826,5.6012732986833855,14309
1981-07-31,16196.695683144826,502097.5661774896,251048.7830887448,5.763287031422057,14237
1981-08-31,11518.809701859309,357083.1007576386,178541.5503788193,4.098750008696494,9384
1981-09-30,0,0,0,0,5411
1981-10-31,0,0,0,0,3628
1981-11-30,0,0,0,0,7060
1981-12-31,26823.8500008192,831539.3500253952,415769.6750126976,9.544758379538512,25133
1982-01-31,10598.269600452413,328546.35761402483,164273.17880701242,3.771193269215161,8429
1982-02-28,25908.019179033596,725424.5370129407,362712.26850647037,8.326727927145784,24199
1982-03-31,15240.490677285517,472455.210995851,236227.6054979255,5.423039611981761,13245
1982-04-30,26499.2889708288,794978.6691248639,397489.33456243196,9.125099507861156,24802
1982-05-31,0,0,0,0,3666
1982-06-30,10283.0689584,308492.068752,154246.034376,3.5410017074380162,8102
1982-07-31,12506.823946824827,387711.54235156963,193855.77117578482,4.450316142694785,10409
1982-08-31,10653.212831635861,330249.5977807117,165124.79889035586,3.790743776178968,8486
1982-09-30,9719.17790151724,291575.33704551717,145787.66852275858,3.3468243462524927,7517
1982-10-31,9655.559423304827,299322.34212244966,149661.17106122483,3.435747728678256,7451
1982-11-30,0,0,0,0,6428
1982-12-31,17243.508824639997,534548.77356384,267274.38678192,6.135775637785123,15323
1983-01-31,21839.730014591998,677031.630452352,338515.815226176,7.771253793071074,20050
1983-02-28,48744.14339128319,1364836.0149559295,682418.0074779647,15.666161787832065,41927
1983-03-31,43852.2600918528,1359420.0628474366,679710.0314237183,15.603995211747437,38703
1983-04-30,22943.825844710398,688314.7753413119,344157.38767065597,7.900766475451239,21176
1983-05-31,11144.81016327724,345489.1150615944,172744.5575307972,3.965669364802507,8996
1983-06-30,14301.636165484137,429049.0849645241,214524.54248226204,4.924805842108862,12271
1983-07-31,14721.90368822069,456379.01433484134,228189.50716742067,5.238510265551438,12707
1983-08-31,14802.872660491033,458889.05247522204,229444.52623761102,5.267321538971786,12791
1983-09-30,13944.987120959999,418349.61362879997,209174.80681439998,4.801992810247934,11901
1983-10-31,11113.000924171034,344503.0286493021,172251.51432465104,3.9543506502445145,8963
1983-11-30,15924.871276237242,477746.13828711724,238873.06914355862,5.483771100632659,13955
1983-12-31,36261.7609794048,1124114.5903615486,562057.2951807743,12.903060036289585,33267
1984-01-31,11908.231901826206,369155.1889566124,184577.5944783062,4.237318514194357,9788
1984-02-29,0,0,0,0,4454
1984-03-31,11446.51597661793,354841.9952751558,177420.9976375779,4.073025657428326,9309
1984-04-30,0,0,0,0,4900
1984-05-31,0,0,0,0,6803
1984-06-30,12507.787863161378,375233.63589484134,187616.81794742067,4.307089484559703,10410
1984-07-31,16254.53066333793,503890.45056347584,251945.22528173792,5.7838665124365916,14297
1984-08-31,10367.89359601655,321404.70147651306,160702.35073825653,3.6892183365072664,8190
1984-09-30,16561.056058361377,496831.6817508413,248415.84087542066,5.702842995303505,14615
1984-10-31,0,0,0,0,7345
1984-11-30,0,0,0,0,3368
1984-12-31,0,0,0,0,3345
1985-01-31,0,0,0,0,3376
1985-02-28,0,0,0,0,3395
1985-03-31,0,0,0,0,3361
1985-04-30,0,0,0,0,4968
1985-05-31,10191.496906427585,315936.4040992551,157968.20204962755,3.6264509194129375,8007
1985-06-30,13086.137665092414,392584.1299527724,196292.0649763862,4.506245752442291,11010
1985-07-31,16112.834961864828,499497.8838178097,249748.94190890485,5.733446783950984,14150
