flow,parker_qs,wilcock_qs,gaeuman_qs,river_mile
210,7.1e-5,9.6e-5,2.46e-4,283.33
500,0.004994,0.00135,0.00324,283.33
750,0.036029,0.005301,0.013065,283.33
1000,0.15099,0.016174,0.039437,283.33
1250,0.368879,0.036586,0.085184,283.33
1500,0.634368,0.064214,0.142707,283.33
2000,1.362871,0.149516,0.307467,283.33
2240,1.77468,0.202681,0.406075,283.33
210,0.108855,0.008457,0.020642,283.79
500,3.237063,0.305298,0.602176,283.79
750,2.069902,0.224502,0.465198,283.79
1000,1.479091,0.134811,0.288709,283.79
1250,1.520064,0.140977,0.302889,283.79
1500,1.582043,0.154006,0.324088,283.79
2000,1.453305,0.152393,0.311448,283.79
2240,1.418894,0.152464,0.30857,283.79
210,5.45e-4,2.58e-4,6.52e-4,284.31
500,0.026902,0.003853,0.009517,284.31
750,0.132063,0.013957,0.033726,284.31
1000,0.356642,0.034782,0.080185,284.31
1250,0.601558,0.06088,0.134314,284.31
1500,1.644049,0.146644,0.316027,284.31
2000,2.380734,0.26567,0.524438,284.31
2240,3.693691,0.452615,0.843764,284.31
210,0,0,1e-6,284.53
500,5.21e-4,1.98e-4,4.82e-4,284.53
750,0.01398,0.002036,0.005032,284.53
1000,0.072777,0.007956,0.018966,284.53
1250,0.200269,0.021154,0.047693,284.53
1500,0.6727,0.062191,0.134157,284.53
2000,1.148805,0.136045,0.267236,284.53
2240,2.195413,0.283794,0.520258,284.53
210,0,0,1e-6,285.2
500,0.00257,6.28e-4,0.001506,285.2
750,0.056021,0.006383,0.015541,285.2
1000,0.20492,0.021218,0.048101,285.2
1250,0.407629,0.043884,0.094113,285.2
1500,0.496564,0.055176,0.116846,285.2
2000,0.676043,0.076478,0.156863,285.2
2240,0.807094,0.093461,0.188336,285.2
210,4.65e-4,1.84e-4,4.54e-4,285.86
500,0.123749,0.013322,0.031794,285.86
750,0.779187,0.073938,0.162165,285.86
1000,1.125172,0.114473,0.242327,285.86
1250,1.292803,0.140035,0.294761,285.86
1500,1.281547,0.137022,0.289657,285.86
2000,1.725809,0.158255,0.356505,285.86
2240,1.660032,0.160909,0.356495,285.86
210,0,0,0,286.13
500,0,0,0,286.13
750,4e-6,1.3e-5,3.3e-5,286.13
1000,5.31e-4,2.29e-4,5.57e-4,286.13
1250,0.008165,0.001453,0.003577,286.13
1500,0.041767,0.00512,0.012471,286.13
2000,0.248072,0.027,0.059516,286.13
2240,0.416129,0.04672,0.098549,286.13
210,0,0,0,286.215
500,0,0,1e-6,286.215
750,1.2e-5,1.9e-5,4.9e-5,286.215
1000,0.001515,3.94e-4,9.54e-4,286.215
1250,0.017388,0.002393,0.005876,286.215
1500,0.075119,0.00833,0.019494,286.215
2000,0.39435,0.044899,0.092681,286.215
2240,1.148754,0.121387,0.240333,286.215
210,0,0,0,286.224
500,0,0,0,286.224
750,1.1e-5,1.8e-5,4.6e-5,286.224
1000,0.001366,3.59e-4,8.66e-4,286.224
1250,0.015509,0.002163,0.005326,286.224
1500,0.06992,0.007776,0.01818,286.224
2000,0.833239,0.09961,0.212382,286.224
2240,1.035074,0.108442,0.216299,286.224
210,0,0,0,286.31
500,0,2e-6,5e-6,286.31
750,4.05e-4,1.62e-4,3.95e-4,286.31
1000,0.011616,0.001719,0.004239,286.31
1250,0.065685,0.007394,0.017518,286.31
1500,0.182972,0.019678,0.043477,286.31
2000,0.613084,0.073617,0.145424,286.31
2240,1.000818,0.124391,0.237956,286.31
210,0,0,0,286.63
500,2e-6,6e-6,1.5e-5,286.63
750,0.003195,6.19e-4,0.001504,286.63
1000,0.036222,0.004121,0.010021,286.63
1250,1.822948,0.200092,0.358679,286.63
1500,0.456133,0.046469,0.094958,286.63
2000,0.687689,0.068902,0.150803,286.63
2240,1.130628,0.115406,0.244969,286.63
210,5.4e-5,4.9e-5,1.26e-4,287.27
500,0.016668,0.002551,0.006279,287.27
750,0.101864,0.010898,0.026251,287.27
1000,0.256608,0.026236,0.059938,287.27
1250,0.480463,0.050335,0.10917,287.27
1500,0.73515,0.080628,0.167377,287.27
2000,1.333473,0.160822,0.313024,287.27
2240,1.655795,0.207506,0.394931,287.27
210,3.718533,0.328256,0.684848,287.81
500,0.728819,0.071608,0.155355,287.81
750,0.344143,0.033999,0.077944,287.81
1000,0.279871,0.028752,0.06675,287.81
1250,0.310981,0.031578,0.073967,287.81
1500,0.417703,0.040949,0.095499,287.81
2000,0.577639,0.057401,0.128794,287.81
2240,5.735567,1.136762,1.69493,287.81
210,0,0,0,288.39
500,3.1e-4,1.56e-4,3.89e-4,288.39
750,0.018411,0.002623,0.006492,288.39
1000,0.084602,0.009154,0.02192,288.39
1250,0.190569,0.01995,0.04561,288.39
1500,0.34234,0.035955,0.07929,288.39
2000,0.688864,0.075709,0.158008,288.39
2240,0.871958,0.098015,0.200638,288.39
210,0.06408,0.007245,0.017785,289.01
500,0.194899,0.019833,0.047119,289.01
750,0.267149,0.027983,0.065192,289.01
1000,1.543983,0.155051,0.297389,289.01
1250,0.437512,0.043127,0.098755,289.01
1500,0.477839,0.048472,0.110348,289.01
2000,0.779781,0.080262,0.175635,289.01
2240,1.012076,0.106448,0.226928,289.01
210,0.067099,0.006602,0.016174,289.15
500,0.054557,0.00629,0.015446,289.15
750,0.104574,0.010992,0.026567,289.15
1000,0.175701,0.017739,0.041634,289.15
1250,0.266812,0.026999,0.061251,289.15
1500,0.388355,0.040223,0.088078,289.15
2000,0.644292,0.07107,0.147124,289.15
2240,0.742693,0.084083,0.170989,289.15
210,0.068005,0.006897,0.016861,289.16
500,0.062798,0.007147,0.017483,289.16
750,0.126772,0.013266,0.032031,289.16
1000,0.213325,0.021411,0.050223,289.16
1250,0.318064,0.03207,0.072726,289.16
1500,0.454826,0.04696,0.102862,289.16
2000,0.740207,0.081392,0.168617,289.16
2240,0.846536,0.095553,0.194472,289.16
210,0,2e-6,5e-6,289.32
500,0.003732,7.26e-4,0.001771,289.32
750,0.042941,0.004949,0.012044,289.32
1000,0.125644,0.013122,0.030354,289.32
1250,0.212665,0.022506,0.050144,289.32
1500,0.328324,0.035148,0.076398,289.32
2000,0.687382,0.077159,0.158778,289.32
2240,0.941895,0.109061,0.218812,289.32
210,1.147028,0.088223,0.184421,290.06
500,0.007497,0.001356,0.003289,290.06
750,9.27e-4,3.56e-4,8.76e-4,290.06
1000,0.009257,0.001613,0.003927,290.06
1250,0.06453,0.007049,0.017148,290.06
1500,0.188529,0.018969,0.043569,290.06
2000,0.496346,0.053705,0.112974,290.06
2240,0.563822,0.062582,0.129531,290.06
210,0.101324,0.010276,0.024715,290.35
500,1.299637,0.117893,0.256347,290.35
750,1.217635,0.119801,0.259204,290.35
1000,1.544339,0.157984,0.333417,290.35
1250,1.790472,0.189111,0.391249,290.35
